Enseigner c'est apprendre deux fois.,Sénèque,,warm,teaching|learning|wisdom|share,#sénèque|#stoicisme|#éducation|#philosophie|#citation|#sagesse|#apprentissage|#stoic|#quotes,0,;
Le seul voyage est intérieur.,Sénèque,,contemplative,inner|journey|soul|depth,#sénèque|#voyage|#stoicisme|#philosophie|#citation|#intérieur|#sagesse|#stoic|#quotes,0,;
Commence quand tu veux. L'heure de commencer c'est maintenant.,Sénèque,,energetic,now|begin|action|start,#sénèque|#stoicisme|#action|#philosophie|#citation|#maintenant|#sagesse|#motivation|#quotes,0,;
Le silence est aussi une conversation.,Sénèque,,calm,silence|dialogue|peace|wisdom,#sénèque|#stoicisme|#silence|#philosophie|#citation|#sagesse|#stoic|#calme|#quotes,0,;
L'essentiel est invisible pour les yeux.,Antoine de Saint-Exupéry,,warm,heart|invisible|stars|love,#saintexupery|#lepetitprince|#citation|#amour|#sagesse|#essentiel|#quotes|#cœur|#poésie,0,;
Tu deviens responsable pour toujours de ce que tu as apprivoisé.,Antoine de Saint-Exupéry,,warm,responsibility|love|bond|heart,#saintexupery|#lepetitprince|#responsabilité|#citation|#amour|#sagesse|#quotes|#lien|#apprivoiser,0,;
On ne voit bien qu'avec le cœur.,Antoine de Saint-Exupéry,,warm,heart|vision|love|truth,#saintexupery|#lepetitprince|#citation|#cœur|#amour|#sagesse|#quotes|#vérité|#vision,0,;
Le désert est beau parce qu'il cache un puits quelque part.,Antoine de Saint-Exupéry,,contemplative,desert|well|hidden|beauty,#saintexupery|#lepetitprince|#beauté|#citation|#mystère|#sagesse|#quotes|#désert|#poésie,0,;
Fais de ta vie un rêve, et d'un rêve, une réalité.,Antoine de Saint-Exupéry,,warm,dream|life|creation|stars,#saintexupery|#rêve|#citation|#vie|#sagesse|#inspiration|#quotes|#créativité|#poésie,0,;
Aimer ce n'est pas se regarder l'un l'autre, c'est regarder ensemble dans la même direction.,Antoine de Saint-Exupéry,,warm,couple|direction|together|love,#saintexupery|#amour|#citation|#couple|#sagesse|#ensemble|#quotes|#relation|#direction,0,;
La grandeur d'un métier est peut-être avant tout d'unir des hommes.,Antoine de Saint-Exupéry,,warm,community|union|work|humanity,#saintexupery|#citation|#humanité|#travail|#sagesse|#lien|#quotes|#fraternité|#vie,0,;
Il faut chercher dans la nuit ce que l'on ne voit pas dans le jour.,Antoine de Saint-Exupéry,,contemplative,dark|night|hidden|truth,#saintexupery|#nuit|#citation|#sagesse|#mystère|#vérité|#quotes|#lumière|#profondeur,0,;
La perfection est atteinte non quand il n'y a plus rien à ajouter, mais quand il n'y a plus rien à enlever.,Antoine de Saint-Exupéry,,contemplative,simplicity|perfection|design|essence,#saintexupery|#perfection|#citation|#sagesse|#simplicité|#design|#quotes|#essentiel|#beauté,0,;
Avoir de la grandeur d'âme c'est de donner sans attendre de recevoir.,Antoine de Saint-Exupéry,,warm,giving|generosity|soul|love,#saintexupery|#générosité|#citation|#sagesse|#âme|#amour|#quotes|#don|#humanité,0,;
Ce qui embellit le désert, c'est qu'il cache un puits quelque part.,Antoine de Saint-Exupéry,,contemplative,beauty|hidden|discover|meaning,#saintexupery|#beauté|#citation|#mystère|#sagesse|#découverte|#quotes|#vie|#sens,0,;
La terre nous en apprend plus sur nous que tous les livres.,Antoine de Saint-Exupéry,,energetic,nature|earth|lesson|discovery,#saintexupery|#nature|#citation|#sagesse|#apprentissage|#découverte|#quotes|#vie|#terre,0,;
Chaque étoile est une rose qui ne mourra jamais.,Antoine de Saint-Exupéry,,warm,stars|rose|eternal|love,#saintexupery|#étoiles|#citation|#amour|#poésie|#sagesse|#quotes|#beauté|#éternité,0,;
On risque de pleurer un peu si l'on s'est laissé apprivoiser.,Antoine de Saint-Exupéry,,melancholic,attachment|sadness|love|vulnerability,#saintexupery|#citation|#amour|#attachement|#sagesse|#vulnérabilité|#quotes|#relation|#sentiment,0,;
L'avenir n'est pas à prévoir, mais à permettre.,Antoine de Saint-Exupéry,,energetic,future|creation|open|possibility,#saintexupery|#avenir|#citation|#sagesse|#création|#possibilité|#quotes|#inspiration|#vie,0,;
Un navire dans le port est en sécurité, mais ce n'est pas pour cela qu'on construit des navires.,Antoine de Saint-Exupéry,,energetic,ship|voyage|courage|purpose,#saintexupery|#courage|#voyage|#citation|#sagesse|#aventure|#quotes|#risque|#vie,0,;
Il faut imaginer Sisyphe heureux.,Albert Camus,,warm,boulder|absurd|happiness|acceptance,#camus|#philosophie|#absurde|#citation|#sagesse|#bonheur|#existentialisme|#quotes|#vie,0,;
Au milieu de l'hiver, j'ai découvert en moi un invincible été.,Albert Camus,,warm,winter|summer|inner|strength,#camus|#philosophie|#résilience|#citation|#sagesse|#intérieur|#force|#quotes|#vie,0,;
Le seul moyen de traiter avec un monde sans liberté est de devenir si absolument libre qu'on fasse de son existence un acte de révolte.,Albert Camus,,energetic,freedom|revolt|existence|will,#camus|#liberté|#philosophie|#citation|#révolte|#sagesse|#existentialisme|#quotes|#vie,0,;
Vivre, c'est choisir.,Albert Camus,,energetic,choice|life|freedom|will,#camus|#choix|#philosophie|#citation|#vie|#sagesse|#existentialisme|#quotes|#liberté,0,;
La beauté est insupportable, elle nous désespère. Elle nous offre pour une minute les portes d'un autre monde.,Albert Camus,,melancholic,beauty|doors|world|despair,#camus|#beauté|#philosophie|#citation|#désespoir|#sagesse|#existentialisme|#quotes|#art,0,;
Ne pas vouloir se tromper et ne pas pouvoir supporter l'erreur, c'est la même chose.,Albert Camus,,contemplative,truth|error|acceptance|growth,#camus|#philosophie|#erreur|#citation|#vérité|#sagesse|#existentialisme|#quotes|#croissance,0,;
L'absurde naît de la confrontation entre l'appel humain et le silence déraisonnable du monde.,Albert Camus,,melancholic,silence|world|human|absurd,#camus|#absurde|#philosophie|#citation|#monde|#sagesse|#existentialisme|#quotes|#sens,0,;
Mal nommer les choses, c'est ajouter du malheur au monde.,Albert Camus,,contemplative,words|truth|language|world,#camus|#langage|#philosophie|#citation|#vérité|#sagesse|#existentialisme|#quotes|#mots,0,;
Comprendre le monde, c'est d'abord comprendre le cœur.,Albert Camus,,warm,understanding|heart|world|truth,#camus|#philosophie|#compréhension|#citation|#cœur|#sagesse|#existentialisme|#quotes|#humanité,0,;
On ne pense qu'en images. Si tu veux être philosophe, écris des romans.,Albert Camus,,warm,images|writing|philosophy|novel,#camus|#écriture|#philosophie|#citation|#roman|#sagesse|#créativité|#quotes|#art,0,;
La révolte est la certitude d'un destin écrasant, mais sans la résignation.,Albert Camus,,energetic,revolt|fate|dignity|will,#camus|#révolte|#philosophie|#citation|#destin|#sagesse|#existentialisme|#quotes|#résistance,0,;
On voyage parce qu'on cherche. On reste parce qu'on a trouvé.,Albert Camus,,contemplative,travel|seeking|finding|home,#camus|#voyage|#philosophie|#citation|#recherche|#sagesse|#quotes|#découverte|#soi,0,;
Nous ne comprenons pas complètement une idée tant que nous ne l'avons pas combattue.,Albert Camus,,contemplative,idea|combat|understand|debate,#camus|#philosophie|#pensée|#citation|#compréhension|#sagesse|#existentialisme|#quotes|#idée,0,;
Le silence d'une chambre est parfois si grand qu'on finit par entendre battre son cœur.,Albert Camus,,melancholic,silence|room|heart|alone,#camus|#silence|#philosophie|#citation|#solitude|#sagesse|#quotes|#cœur|#intérieur,0,;
La vraie générosité envers l'avenir consiste à tout donner au présent.,Albert Camus,,warm,generosity|present|giving|future,#camus|#présent|#philosophie|#citation|#générosité|#sagesse|#existentialisme|#quotes|#maintenant,0,;
Dans un monde où l'idéal s'évanouit, il faut choisir entre médiocrité et grandeur.,Albert Camus,,energetic,ideal|greatness|choice|world,#camus|#grandeur|#philosophie|#citation|#choix|#sagesse|#existentialisme|#quotes|#monde,0,;
Être heureux implique de ne pas être trop concerné par les autres.,Albert Camus,,calm,happiness|solitude|self|peace,#camus|#bonheur|#philosophie|#citation|#liberté|#sagesse|#existentialisme|#quotes|#soi,0,;
On ne peut pas être généreux et ne pas supporter d'être seul.,Albert Camus,,contemplative,solitude|generosity|strength|self,#camus|#solitude|#philosophie|#citation|#générosité|#sagesse|#existentialisme|#quotes|#force,0,;
Le secret de mes univers : imaginer Dieu sans l'immortalité de l'âme.,Albert Camus,,melancholic,god|soul|mortality|truth,#camus|#philosophie|#dieu|#citation|#mortalité|#sagesse|#existentialisme|#quotes|#âme,0,;
La vraie vie est ailleurs ; la vraie vie est partout.,Albert Camus,,energetic,life|elsewhere|truth|vivid,#camus|#vie|#philosophie|#citation|#vérité|#sagesse|#existentialisme|#quotes|#présence,0,
Même après toutes ces années, le soleil n'a jamais dit à la terre : tu me dois quoi. Regarde ce que se passe quand un tel amour éclaire. Il illumine tout le ciel.,Hafiz,,warm,sun|earth|love|light,#hafiz|#amour|#poésie|#mystique|#citation|#générosité|#lumière|#sagesse|#quotes,0,;
Je souhaite que tu te souviennes que la vieille lune mange toujours le soleil à l'aube.,Hafiz,,contemplative,moon|sun|cycle|wisdom,#hafiz|#poésie|#mystique|#citation|#sagesse|#cycle|#lune|#soleil|#quotes,0,;
L'amour est le seul sorcier qui transforme l'argile en or.,Hafiz,,warm,love|alchemy|gold|heart,#hafiz|#amour|#alchimie|#poésie|#mystique|#citation|#sagesse|#or|#quotes,0,;
Commence par toi-même. Deviens la lumière que tu cherches.,Hafiz,,warm,light|inner|soul|self,#hafiz|#poésie|#lumière|#mystique|#citation|#découvertesoi|#sagesse|#spiritualité|#quotes,0,;
Ton amour doit être comme un soleil sans nuages.,Hafiz,,warm,love|sun|clear|heart,#hafiz|#amour|#poésie|#mystique|#citation|#soleil|#sagesse|#spiritualité|#quotes,0,;
Dans la souffrance, chaque âme cherche son miroir.,Hafiz,,melancholic,soul|mirror|pain|truth,#hafiz|#âme|#poésie|#mystique|#citation|#douleur|#sagesse|#spiritualité|#quotes,0,;
Dieu rit avec ceux qui rient, pleure avec ceux qui pleurent.,Hafiz,,warm,god|empathy|laugh|cry,#hafiz|#dieu|#empathie|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Même les étoiles s'aiment. C'est pourquoi elles brillent toujours ensemble.,Hafiz,,warm,stars|love|together|night,#hafiz|#amour|#étoiles|#poésie|#mystique|#citation|#sagesse|#nuit|#quotes,0,;
Le vin que je bois est fait de lumière.,Hafiz,,warm,wine|light|poetry|joy,#hafiz|#lumière|#poésie|#mystique|#citation|#joie|#sagesse|#spiritualité|#soufi,0,;
L'amour porte sur ses ailes tous les espoirs du monde.,Hafiz,,warm,love|hope|wings|flight,#hafiz|#amour|#espoir|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Le seul remède à la folie c'est un plus grand amour.,Hafiz,,warm,love|remedy|madness|heart,#hafiz|#amour|#guérison|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Je suis ivre de la beauté divine. Que puis-je faire d'autre ?,Hafiz,,warm,divine|beauty|drunk|soul,#hafiz|#beauté|#divin|#poésie|#mystique|#citation|#sagesse|#spiritualité|#soufi,0,;
Chaque moment que tu passes dans la joie est une prière.,Hafiz,,warm,joy|prayer|moment|divine,#hafiz|#joie|#prière|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
L'amour est le seul chemin qui mène à la vérité.,Hafiz,,warm,love|path|truth|heart,#hafiz|#amour|#vérité|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Ris avec Dieu. Danse avec l'univers.,Hafiz,,warm,god|dance|joy|universe,#hafiz|#joie|#dieu|#poésie|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Que sais-je ?,Montaigne,,contemplative,question|humility|wisdom|inquiry,#montaigne|#philosophie|#humilité|#citation|#sagesse|#question|#connaissance|#quotes|#humanisme,0,;
Chaque homme porte la forme entière de l'humaine condition.,Montaigne,,warm,humanity|human|universal|self,#montaigne|#humanisme|#philosophie|#citation|#humanité|#sagesse|#soi|#quotes|#condition,0,;
Il se faut réserver une arrière-boutique toute nôtre, toute franche.,Montaigne,,contemplative,inner|room|self|freedom,#montaigne|#philosophie|#intérieur|#citation|#sagesse|#liberté|#soi|#humanisme|#quotes,0,;
La plus grande chose du monde est de savoir être à soi.,Montaigne,,contemplative,self|freedom|inner|solitude,#montaigne|#philosophie|#soi|#citation|#sagesse|#liberté|#intérieur|#humanisme|#quotes,0,;
Mon métier et mon art, c'est vivre.,Montaigne,,energetic,life|living|art|purpose,#montaigne|#vie|#philosophie|#citation|#art|#sagesse|#humanisme|#quotes|#existence,0,;
Philosopher, c'est apprendre à mourir.,Montaigne,,melancholic,death|wisdom|life|philosophy,#montaigne|#philosophie|#mort|#citation|#sagesse|#vie|#humanisme|#quotes|#méditation,0,;
Nous ne goûtons rien de pur. Nos bonheurs sont toujours mêlés d'un peu d'amertume.,Montaigne,,melancholic,impurity|joy|bitterness|complex,#montaigne|#bonheur|#philosophie|#citation|#complexité|#sagesse|#humanisme|#quotes|#vie,0,;
La vraie liberté c'est avoir pouvoir sur soi.,Montaigne,,contemplative,freedom|self|mastery|will,#montaigne|#liberté|#philosophie|#citation|#maîtrise|#sagesse|#humanisme|#quotes|#soi,0,;
Je ne peins pas l'être. Je peins le passage.,Montaigne,,melancholic,movement|change|passage|life,#montaigne|#changement|#philosophie|#citation|#passage|#sagesse|#humanisme|#quotes|#être,0,;
Les belles femmes appartiennent à la nature ; les belles vertus appartiennent aux hommes.,Montaigne,,contemplative,virtue|nature|human|beauty,#montaigne|#vertu|#philosophie|#citation|#nature|#sagesse|#humanisme|#quotes|#beauté,0,
La parole est moitié à celui qui parle, moitié à celui qui écoute.,Montaigne,,warm,dialogue|listening|speech|exchange,#montaigne|#écoute|#philosophie|#citation|#dialogue|#sagesse|#humanisme|#quotes|#parole,0,;
Il y a plus affaire à interpréter les interprétations qu'à interpréter les choses.,Montaigne,,contemplative,meaning|layers|interpretation|depth,#montaigne|#philosophie|#interprétation|#citation|#sens|#sagesse|#humanisme|#quotes|#pensée,0,;
Je veux mourir en faisant mes choses ordinaires.,Montaigne,,melancholic,ordinary|death|daily|life,#montaigne|#mort|#philosophie|#citation|#quotidien|#sagesse|#humanisme|#quotes|#vie,0,;
L'expérience est une école que tout le monde fréquente.,Montaigne,,warm,experience|learning|life|school,#montaigne|#expérience|#philosophie|#citation|#apprentissage|#sagesse|#humanisme|#quotes|#vie,0,;
Toute la sagesse consiste à savoir ce dont il faut avoir honte.,Montaigne,,contemplative,shame|wisdom|conscience|ethics,#montaigne|#sagesse|#philosophie|#honte|#citation|#conscience|#humanisme|#quotes|#éthique,0,;
La beauté sauvera le monde.,Fiodor Dostoïevski,,warm,beauty|salvation|world|art,#dostoïevski|#littérature|#beauté|#citation|#sagesse|#art|#humanité|#quotes|#monde,0,;
Aimer quelqu'un, c'est le voir tel que Dieu l'a voulu.,Fiodor Dostoïevski,,warm,love|god|vision|soul,#dostoïevski|#amour|#littérature|#citation|#sagesse|#âme|#dieu|#quotes|#humanité,0,;
Le malheur est aussi utile que le bonheur.,Fiodor Dostoïevski,,melancholic,suffering|joy|balance|growth,#dostoïevski|#souffrance|#littérature|#citation|#sagesse|#bonheur|#humanité|#quotes|#vie,0,;
L'homme qui ment à lui-même est souvent le premier à se fâcher contre ceux qui lui disent la vérité.,Fiodor Dostoïevski,,contemplative,truth|self-lie|anger|honesty,#dostoïevski|#vérité|#littérature|#citation|#sagesse|#mensonge|#psychologie|#quotes|#humanité,0,;
Il n'existe qu'une seule chose que je redoute : ne pas être digne de mes souffrances.,Fiodor Dostoïevski,,melancholic,suffering|dignity|worth|strength,#dostoïevski|#souffrance|#littérature|#citation|#dignité|#sagesse|#résilience|#quotes|#humanité,0,;
Apprendre à souffrir, c'est apprendre à vivre.,Fiodor Dostoïevski,,melancholic,suffering|living|learning|growth,#dostoïevski|#souffrance|#littérature|#citation|#vie|#sagesse|#résilience|#quotes|#humanité,0,;
Si tu n'as plus de larmes, tu as perdu quelque chose d'essentiel.,Fiodor Dostoïevski,,melancholic,tears|emotion|humanity|loss,#dostoïevski|#larmes|#littérature|#citation|#humanité|#sagesse|#émotion|#quotes|#sensibilité,0,;
La souffrance est la seule origine de la conscience.,Fiodor Dostoïevski,,melancholic,suffering|consciousness|awareness|growth,#dostoïevski|#conscience|#littérature|#citation|#souffrance|#sagesse|#humanité|#quotes|#éveil,0,;
Aimer, c'est faire souffrir l'autre pour le rendre meilleur.,Fiodor Dostoïevski,,melancholic,love|suffering|growth|truth,#dostoïevski|#amour|#littérature|#citation|#sagesse|#souffrance|#croissance|#quotes|#humanité,0,;
Être conscient de sa propre misère, c'est déjà s'élever au-dessus d'elle.,Fiodor Dostoïevski,,melancholic,awareness|misery|elevation|consciousness,#dostoïevski|#conscience|#littérature|#citation|#sagesse|#élévation|#humanité|#quotes|#souffrance,0,;
La musique, c'est du bruit qui pense.,Victor Hugo,,warm,music|thought|noise|soul,#victorhugo|#littérature|#musique|#citation|#sagesse|#art|#poésie|#quotes|#beauté,0,;
Le premier symptôme de l'amour vrai chez un jeune homme, c'est la timidité.,Victor Hugo,,warm,love|shyness|youth|feeling,#victorhugo|#amour|#littérature|#citation|#sagesse|#sentiment|#poésie|#quotes|#jeunesse,0,;
On ne peut empêcher le printemps de venir.,Victor Hugo,,warm,spring|life|inevitable|hope,#victorhugo|#espoir|#littérature|#citation|#vie|#sagesse|#nature|#quotes|#poésie,0,;
On résiste à l'invasion des armées, on ne résiste pas à l'invasion des idées.,Victor Hugo,,energetic,ideas|power|revolution|change,#victorhugo|#idées|#littérature|#citation|#révolution|#sagesse|#force|#quotes|#changement,0,;
Rire, c'est le soleil. Cela chasse l'hiver du visage humain.,Victor Hugo,,warm,laugh|sun|warmth|humanity,#victorhugo|#joie|#littérature|#citation|#rire|#sagesse|#humanité|#quotes|#lumière,0,;
Le beau est aussi utile que l'utile.,Victor Hugo,,warm,beauty|useful|art|life,#victorhugo|#beauté|#littérature|#citation|#utilité|#sagesse|#art|#quotes|#esthétique,0,;
L'avenir appartient à Dieu. Or Dieu appartient à tous.,Victor Hugo,,warm,future|god|hope|all,#victorhugo|#avenir|#littérature|#citation|#dieu|#sagesse|#espoir|#quotes|#humanité,0,;
Toute la misère du monde vient des hommes qui ne parlent pas ensemble.,Victor Hugo,,warm,dialogue|peace|humanity|together,#victorhugo|#dialogue|#littérature|#citation|#humanité|#sagesse|#paix|#quotes|#monde,0,;
Il faut que la société soit une école permanente.,Victor Hugo,,warm,education|society|progress|life,#victorhugo|#éducation|#littérature|#citation|#société|#sagesse|#progrès|#quotes|#humanité,0,;
Être beau, c'est être aimé d'avance.,Victor Hugo,,warm,beauty|love|grace|soul,#victorhugo|#beauté|#amour|#littérature|#citation|#sagesse|#grâce|#quotes|#humanité,0,;
Connais les autres : c'est sagesse. Te connaître toi-même : c'est illumination.,Lao Tseu,,contemplative,self-knowledge|wisdom|other|light,#laotzu|#taoisme|#philosophie|#citation|#sagesse|#connaissance|#soi|#quotes|#tao,0,;
Le voyage de mille lieues commence par un pas.,Lao Tseu,,energetic,journey|first step|begin|path,#laotzu|#taoisme|#voyage|#citation|#sagesse|#commencement|#philosophie|#quotes|#tao,0,;
Maîtriser les autres c'est de la force. Se maîtriser soi-même c'est du vrai pouvoir.,Lao Tseu,,contemplative,mastery|self|power|control,#laotzu|#taoisme|#philosophie|#maîtrise|#citation|#sagesse|#pouvoir|#quotes|#tao,0,;
La nature n'est jamais pressée. Et pourtant, tout s'accomplit.,Lao Tseu,,calm,nature|patience|flow|harmony,#laotzu|#taoisme|#nature|#citation|#patience|#sagesse|#harmonie|#quotes|#tao,0,;
Qui parle ne sait pas. Qui sait ne parle pas.,Lao Tseu,,calm,silence|wisdom|speak|know,#laotzu|#taoisme|#silence|#citation|#sagesse|#connaissance|#philosophie|#quotes|#tao,0,;
L'eau douce surmonte la pierre dure. Le mal n'a pas de force contre la bonté.,Lao Tseu,,calm,water|stone|soft|overcome,#laotzu|#taoisme|#eau|#citation|#sagesse|#douceur|#philosophie|#quotes|#tao,0,;
Être aimé profondément par quelqu'un vous donne de la force, tandis qu'aimer quelqu'un profondément vous donne du courage.,Lao Tseu,,warm,love|strength|courage|deep,#laotzu|#taoisme|#amour|#citation|#force|#sagesse|#courage|#quotes|#tao,0,;
Ce qui nait flexible survit. Ce qui est rigide, se brise.,Lao Tseu,,calm,flexibility|survival|adapt|water,#laotzu|#taoisme|#flexibilité|#citation|#sagesse|#adaptation|#philosophie|#quotes|#tao,0,;
Le sage n'accumule pas. Plus il aide les autres, plus il possède.,Lao Tseu,,warm,generosity|wisdom|giving|abundance,#laotzu|#taoisme|#générosité|#citation|#sagesse|#don|#philosophie|#quotes|#tao,0,;
Si tu réalises que toutes choses changent, il n'y a rien à quoi tu t'accroches.,Lao Tseu,,calm,change|letting go|flow|impermanence,#laotzu|#taoisme|#changement|#citation|#lâcherprise|#sagesse|#impermanence|#quotes|#tao,0,;
La paix dans ta vie ne s'obtient qu'en harmonie avec le monde.,Lao Tseu,,calm,peace|harmony|world|life,#laotzu|#taoisme|#paix|#citation|#sagesse|#harmonie|#philosophie|#quotes|#tao,0,;
Dans la poursuite de la connaissance, chaque jour quelque chose est ajouté. Dans la poursuite du Tao, chaque jour quelque chose est abandonné.,Lao Tseu,,contemplative,letting go|tao|knowledge|subtract,#laotzu|#taoisme|#connaissance|#citation|#sagesse|#tao|#philosophie|#quotes|#lâcherprise,0,;
Quand tu réalises qu'il n'y a rien qui manque, le monde entier t'appartient.,Lao Tseu,,calm,abundance|completeness|gratitude|world,#laotzu|#taoisme|#abondance|#citation|#gratitude|#sagesse|#philosophie|#quotes|#tao,0,;
Celui qui sait comment vivre peut voyager sans peur des tigres et des rhinocéros.,Lao Tseu,,calm,wisdom|fearless|journey|life,#laotzu|#taoisme|#sagesse|#citation|#sans peur|#voyage|#philosophie|#quotes|#tao,0,;
Simplifie et simplifie encore.,Lao Tseu,,calm,simplicity|clarity|less|peace,#laotzu|#taoisme|#simplicité|#citation|#sagesse|#clarté|#philosophie|#quotes|#tao,0,;
Agis sans agir. Accomplis sans t'efforcer.,Lao Tseu,,calm,wu wei|effortless|action|flow,#laotzu|#taoisme|#wuwei|#citation|#sagesse|#fluidité|#philosophie|#quotes|#tao,0,;
La vertu véritable est agir sans conscience que l'on agit.,Lao Tseu,,contemplative,virtue|natural|spontaneous|action,#laotzu|#taoisme|#vertu|#citation|#sagesse|#naturel|#philosophie|#quotes|#tao,0,;
Pour ceux qui ont cru, nul besoin de preuves. Pour ceux qui ont refusé de croire, nulle preuve n'est suffisante.,Lao Tseu,,contemplative,faith|proof|belief|wisdom,#laotzu|#taoisme|#foi|#citation|#sagesse|#croyance|#philosophie|#quotes|#tao,0,;
Le Tao qui peut être dit n'est pas le Tao éternel.,Lao Tseu,,contemplative,tao|words|mystery|eternal,#laotzu|#taoisme|#mystère|#citation|#sagesse|#tao|#philosophie|#quotes|#éternel,0,;
Le voyageur véritable n'a pas de plan fixe, et n'a pas l'intention d'arriver.,Lao Tseu,,calm,journey|freedom|path|intention,#laotzu|#taoisme|#voyage|#citation|#sagesse|#liberté|#philosophie|#quotes|#tao,0,;
Tes enfants ne sont pas tes enfants. Ils sont les fils et les filles de la vie elle-même.,Khalil Gibran,,warm,children|life|freedom|parent,#gibran|#poésie|#vie|#citation|#enfants|#sagesse|#liberté|#quotes|#humanité,0,;
La douleur est le bris de l'écorce qui entoure ton intelligence.,Khalil Gibran,,melancholic,pain|growth|breaking|wisdom,#gibran|#douleur|#poésie|#citation|#croissance|#sagesse|#éveil|#quotes|#humanité,0,;
Le travail est l'amour rendu visible.,Khalil Gibran,,warm,work|love|visible|purpose,#gibran|#travail|#amour|#poésie|#citation|#sagesse|#passion|#quotes|#humanité,0,;
Vos amis sont vos besoins satisfaits.,Khalil Gibran,,warm,friendship|need|belonging|heart,#gibran|#amitié|#poésie|#citation|#besoin|#sagesse|#lien|#quotes|#humanité,0,;
Si tu aimes quelqu'un, laisse-le aller. Car s'il revient, il t'a toujours appartenu.,Khalil Gibran,,melancholic,love|freedom|letting go|return,#gibran|#amour|#lâcherprise|#poésie|#citation|#sagesse|#liberté|#quotes|#humanité,0,;
Le doute est une douleur trop solitaire pour savoir que la foi est sa sœur jumelle.,Khalil Gibran,,melancholic,doubt|faith|solitude|truth,#gibran|#foi|#doute|#poésie|#citation|#sagesse|#spiritualité|#quotes|#humanité,0,;
La prière est le chant de ton cœur qui monte à toucher le ciel.,Khalil Gibran,,warm,prayer|heart|song|heaven,#gibran|#prière|#poésie|#citation|#cœur|#sagesse|#spiritualité|#quotes|#humanité,0,;
La beauté est éternité qui se contemple dans un miroir.,Khalil Gibran,,contemplative,beauty|eternity|mirror|soul,#gibran|#beauté|#éternité|#poésie|#citation|#sagesse|#miroir|#quotes|#humanité,0,;
Votre joie est votre chagrin sans son masque.,Khalil Gibran,,melancholic,joy|sorrow|mask|truth,#gibran|#joie|#tristesse|#poésie|#citation|#sagesse|#dualité|#quotes|#humanité,0,;
Le don le plus grand vient avec la douleur la plus grande.,Khalil Gibran,,melancholic,gift|pain|growth|contrast,#gibran|#douleur|#don|#poésie|#citation|#sagesse|#croissance|#quotes|#humanité,0,;
Quand tu aimes, ne dis pas 'Dieu est dans mon cœur', mais 'Je suis dans le cœur de Dieu'.,Khalil Gibran,,warm,love|god|heart|divine,#gibran|#amour|#dieu|#poésie|#citation|#sagesse|#spiritualité|#quotes|#humanité,0,;
La générosité n'est pas donner ce que l'on a, mais partager ce que l'on est.,Khalil Gibran,,warm,generosity|sharing|being|soul,#gibran|#générosité|#partage|#poésie|#citation|#sagesse|#être|#quotes|#humanité,0,;
L'amour est un espace que l'on partage avec l'autre.,Khalil Gibran,,warm,love|space|share|together,#gibran|#amour|#espace|#poésie|#citation|#sagesse|#relation|#quotes|#humanité,0,;
Ne cherche pas à être aimé. Commence par aimer.,Khalil Gibran,,warm,love|first|giving|heart,#gibran|#amour|#poésie|#citation|#sagesse|#donner|#commencer|#quotes|#humanité,0,;
Ton âme est souvent un champ de bataille où ta raison et ton jugement font la guerre à ton désir.,Khalil Gibran,,melancholic,soul|battle|reason|desire,#gibran|#âme|#combat|#poésie|#citation|#sagesse|#désir|#quotes|#humanité,0,;
Trois choses ne peuvent pas longtemps rester cachées : le soleil, la lune et la vérité.,Bouddha,,contemplative,truth|sun|moon|reveal,#bouddha|#bouddhisme|#philosophie|#citation|#vérité|#sagesse|#lumière|#quotes|#éveil,0,;
La paix vient de l'intérieur. Ne la cherche pas à l'extérieur.,Bouddha,,calm,peace|inner|stillness|self,#bouddha|#bouddhisme|#paix|#citation|#sagesse|#intérieur|#mindfulness|#quotes|#éveil,0,;
Quand on lâche ce qu'on est, on devient ce qu'on pourrait être.,Bouddha,,contemplative,letting go|becoming|transformation|self,#bouddha|#bouddhisme|#lâcherprise|#citation|#sagesse|#transformation|#mindfulness|#quotes|#éveil,0,;
Tu toi-même, autant que quiconque dans l'univers entier, mérites ton amour et ton affection.,Bouddha,,warm,self-love|compassion|kindness|heart,#bouddha|#amourepropre|#bouddhisme|#citation|#compassion|#sagesse|#mindfulness|#quotes|#éveil,0,;
La douleur est inévitable. La souffrance est optionnelle.,Bouddha,,calm,pain|suffering|choice|freedom,#bouddha|#bouddhisme|#douleur|#citation|#sagesse|#souffrance|#mindfulness|#quotes|#éveil,0,;
Tout ce que nous sommes est le résultat de ce que nous avons pensé.,Bouddha,,contemplative,thought|mind|result|self,#bouddha|#bouddhisme|#pensée|#citation|#sagesse|#esprit|#mindfulness|#quotes|#éveil,0,;
Si tu comprends, les choses sont comme elles sont. Si tu ne comprends pas, les choses sont comme elles sont.,Bouddha,,calm,acceptance|reality|understanding|peace,#bouddha|#bouddhisme|#acceptation|#citation|#sagesse|#réalité|#mindfulness|#quotes|#éveil,0,;
